,City,Country,Lat,Long,Hotel Name
244,Hambantota,LK,40.25,-76.25,Twin Pine Manor Bed & Breakfast
245,Huntingdon,GB,57.51,24.72,Lielezers Accommodation
246,Sakakah,SA,46.3,6.99,Central Residence
247,Mattru,SL,6.5,2.6,Résidence OUADADA
248,Arraial do Cabo,BR,31.81,121.66,Hilton Garden Inn Qidong
249,Portland,US,54.93,9.25,
250,Mossamedes,AO,42.33,-83.33,"Country Inn & Suites by Radisson, Dearborn, MI"
251,Dunedin,NZ,55.97,11.87,Lynæs Kro
252,Takoradze,GH,61.6,5.03,Quality Hotel Florø
253,Henties Bay,,-32.25,148.62,ibis budget Dubbo
254,Faanui,PF,66.0,111.5,
255,Touros,BR,9.54,99.94,Code
256,Tuxpan,MX,66.15,-65.71,Auyuittuq Lodge (Inns North)
257,Cap Malheureux,MU,45.53,12.64,Hotel Miami
258,Boyolangu,ID,56.66,16.36,Castle hotel
259,Monkey Bay,MW,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
260,Cabo San Lucas,MX,-8.19,114.97,OYO 1051 De Loran Hotel
261,Hofn,IS,41.07,1.05,Estival Eldorado Resort
262,Muş Province,TR,62.58,6.13,Vestavind Hytter og Rom AS
263,Sarangani,PH,-20.32,118.57,ibis Styles Port Hedland
264,Coyhaique,CL,50.1,-91.92,Sunset Inn & Suites
265,Tabuk,PH,58.56,23.08,Vanatoa Tourism Farm
266,Vao,NC,50.86,0.57,Royal Victoria Hotel
267,Port Blair,IN,-9.88,-56.09,Floresta Amazonica Hotel
268,Lavrentiya,RU,28.37,129.48,Hotel New Amami
269,Arroio Grande,BR,47.84,-83.4,Executive Suites
270,Wewak,PG,15.74,-96.47,Hotel Alebrijes
271,Torbay,CA,41.16,1.11,Mas Passamaner
272,Wanlaweyn,SO,-33.41,-56.5,Hotel Santa Cristina
273,Arlit,NE,42.16,-72.33,The Trainmaster's Inn
274,Sitka,US,49.17,0.67,le logis de brionne
275,Praia da Vitória,PT,64.84,-147.72,Best Western Plus Chena River Lodge
276,Anacortes,US,14.35,121.02,Palines Apartment and Guesthouse
277,Kāmyārān,IR,6.75,100.42,
278,Yarmouth,US,32.76,-91.87,Americas Best Value Inn & Suites Bastrop
279,Graaff-Reinet,ZA,24.7,-77.77,Small Hope Bay Lodge
280,Urman,RU,34.88,-76.9,Holiday Inn Express and Suites Havelock
281,Kavieng,PG,37.94,22.96,Hotel King Saron Ξενοδοχείο
282,Camacha,PT,36.17,-115.14,"Stratosphere Casino, Hotel & Tower"
283,Carnarvon,AU,-29.68,-53.81,Hotel Dom Rafael - Premium
284,Altamont,US,-15.53,167.17,Beachfront Resort
285,Sabang,ID,43.36,-80.31,Travelodge by Wyndham Cambridge - Waterloo
286,Saint-Augustin,CA,32.35,-85.2,
287,Quelimane,MZ,29.95,-91.75,
